movie_title,actor_id,actor_name
G.I. Joe: The Rise of Cobra,24045,Joseph Gordon-Levitt
G.I. Joe: The Rise of Cobra,378,Jonathan Pryce
G.I. Joe: The Rise of Cobra,18269,Brendan Fraser
Inside Out,56322,Amy Poehler
Inside Out,19278,Bill Hader
The Jungle Book,1532,Bill Murray
The Jungle Book,2282,Ben Kingsley
The Jungle Book,17605,Idris Elba
The Jungle Book,1245,Scarlett Johansson
The Jungle Book,4690,Christopher Walken
The Jungle Book,4808,Giancarlo Esposito
The Jungle Book,15277,Jon Favreau
Iron Man 2,3223,Robert Downey Jr.
Iron Man 2,12052,Gwyneth Paltrow
Iron Man 2,1896,Don Cheadle
Iron Man 2,1245,Scarlett Johansson
Iron Man 2,2295,Mickey Rourke
Iron Man 2,6807,Sam Rockwell
Iron Man 2,2231,Samuel L. Jackson
Iron Man 2,9048,Clark Gregg
Iron Man 2,6162,Paul Bettany
Iron Man 2,51072,Kate Mara
Iron Man 2,15277,Jon Favreau
Snow White and the Huntsman,37917,Kristen Stewart
Snow White and the Huntsman,6885,Charlize Theron
Snow White and the Huntsman,74568,Chris Hemsworth
Snow White and the Huntsman,5538,Ray Winstone
Snow White and the Huntsman,13014,Toby Jones
Snow White and the Huntsman,1665,Eddie Marsan
Snow White and the Huntsman,382,Bob Hoskins
Maleficent,11701,Angelina Jolie
Maleficent,11356,Imelda Staunton
Dawn of the Planet of the Apes,1333,Andy Serkis
Dawn of the Planet of the Apes,64,Gary Oldman
Dawn of the Planet of the Apes,20286,Toby Kebbell
Dawn of the Planet of the Apes,20750,Judy Greer
The Lovers,2299,Josh Hartnett
47 Ronin,6384,Keanu Reeves
47 Ronin,11398,Cary-Hiroyuki Tagawa
Captain America: The Winter Soldier,16828,Chris Evans
Captain America: The Winter Soldier,2231,Samuel L. Jackson
Captain America: The Winter Soldier,1245,Scarlett Johansson
Captain America: The Winter Soldier,53650,Anthony Mackie
Captain America: The Winter Soldier,13014,Toby Jones
Shrek Forever After,776,Eddie Murphy
Shrek Forever After,6941,Cameron Diaz
Shrek Forever After,3131,Antonio Banderas
Shrek Forever After,8930,John Cleese
Shrek Forever After,43775,Jane Lynch
Tomorrowland,1461,George Clooney
Tomorrowland,17696,Kathryn Hahn
Tomorrowland,20750,Judy Greer
Big Hero 6,2505,James Cromwell
Big Hero 6,21088,Alan Tudyk
